          atime         eps_uu         eps_vv         eps_ww         pm1avg           tavg
  7.8507600E+01 -1.0173443E-01 -1.2473903E-08  0.0000000E+00  4.8925311E-02  0.0000000E+00
  7.8507600E+01 -1.0099147E-01 -3.5249638E-07  0.0000000E+00  4.8925749E-02  0.0000000E+00
  7.8507600E+01 -9.8790555E-02 -5.3339314E-06  0.0000000E+00  4.8927057E-02  0.0000000E+00
  7.8507600E+01 -9.5209330E-02 -2.6421743E-05  0.0000000E+00  4.8929164E-02  0.0000000E+00
  7.8507600E+01 -9.0359814E-02 -8.1328868E-05  0.0000000E+00  4.8931768E-02  0.0000000E+00
  7.8507600E+01 -8.4367634E-02 -1.9210740E-04  0.0000000E+00  4.8934060E-02  0.0000000E+00
  7.8507600E+01 -7.7367372E-02 -3.8272286E-04  0.0000000E+00  4.8934343E-02  0.0000000E+00
  7.8507600E+01 -6.9509235E-02 -6.7630364E-04  0.0000000E+00  4.8929592E-02  0.0000000E+00
  7.8507600E+01 -6.0991416E-02 -1.0920035E-03  0.0000000E+00  4.8914952E-02  0.0000000E+00
  7.8507600E+01 -5.2109653E-02 -1.6419592E-03  0.0000000E+00  4.8883300E-02  0.0000000E+00
  7.8507600E+01 -4.3300899E-02 -2.3282613E-03  0.0000000E+00  4.8824957E-02  0.0000000E+00
  7.8507600E+01 -3.5133666E-02 -3.1403250E-03  0.0000000E+00  4.8727747E-02  0.0000000E+00
  7.8507600E+01 -2.8228623E-02 -4.0550447E-03  0.0000000E+00  4.8577445E-02  0.0000000E+00
  7.8507600E+01 -2.3115295E-02 -5.0392064E-03  0.0000000E+00  4.8358510E-02  0.0000000E+00
  7.8507600E+01 -2.0094782E-02 -6.0490077E-03  0.0000000E+00  4.8056359E-02  0.0000000E+00
  7.8507600E+01 -1.9120297E-02 -7.0409791E-03  0.0000000E+00  4.7657660E-02  0.0000000E+00
  7.8507600E+01 -1.9841480E-02 -7.9714378E-03  0.0000000E+00  4.7153894E-02  0.0000000E+00
  7.8507600E+01 -2.1695798E-02 -8.8072644E-03  0.0000000E+00  4.6540837E-02  0.0000000E+00
  7.8507600E+01 -2.4051539E-02 -9.5258573E-03  0.0000000E+00  4.5821842E-02  0.0000000E+00
  7.8507600E+01 -2.6371322E-02 -1.0120698E-02  0.0000000E+00  4.5004613E-02  0.0000000E+00
  7.8507600E+01 -2.8262239E-02 -1.0593826E-02  0.0000000E+00  4.4103824E-02  0.0000000E+00
  7.8507600E+01 -2.9496057E-02 -1.0952799E-02  0.0000000E+00  4.3137400E-02  0.0000000E+00
  7.8507600E+01 -3.0000822E-02 -1.1206353E-02  0.0000000E+00  4.2128023E-02  0.0000000E+00
  7.8507600E+01 -2.9829988E-02 -1.1365100E-02  0.0000000E+00  4.1097641E-02  0.0000000E+00
