          atime         prd_uu         prd_vv         prd_ww         pm1avg           tavg
  7.8507600E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8925311E-02  0.0000000E+00
  7.8507600E+01  1.6030266E-09 -1.0431809E-12  0.0000000E+00  4.8925749E-02  0.0000000E+00
  7.8507600E+01  1.0115574E-07  2.8233965E-11  0.0000000E+00  4.8927057E-02  0.0000000E+00
  7.8507600E+01  1.1353927E-06  6.5045073E-10  0.0000000E+00  4.8929164E-02  0.0000000E+00
  7.8507600E+01  6.2439975E-06  5.3397928E-09  0.0000000E+00  4.8931768E-02  0.0000000E+00
  7.8507600E+01  2.3140133E-05  2.3246530E-08  0.0000000E+00  4.8934060E-02  0.0000000E+00
  7.8507600E+01  6.6494097E-05  5.5723782E-08  0.0000000E+00  4.8934343E-02  0.0000000E+00
  7.8507600E+01  1.5944246E-04  1.8086684E-08  0.0000000E+00  4.8929592E-02  0.0000000E+00
  7.8507600E+01  3.3271888E-04 -4.9600239E-07  0.0000000E+00  4.8914952E-02  0.0000000E+00
  7.8507600E+01  6.1952524E-04 -2.7338977E-06  0.0000000E+00  4.8883300E-02  0.0000000E+00
  7.8507600E+01  1.0446971E-03 -9.6809362E-06  0.0000000E+00  4.8824957E-02  0.0000000E+00
  7.8507600E+01  1.6094084E-03 -2.7253303E-05  0.0000000E+00  4.8727747E-02  0.0000000E+00
  7.8507600E+01  2.2753179E-03 -6.5564851E-05  0.0000000E+00  4.8577445E-02  0.0000000E+00
  7.8507600E+01  2.9612622E-03 -1.3947198E-04  0.0000000E+00  4.8358510E-02  0.0000000E+00
  7.8507600E+01  3.5531761E-03 -2.6750718E-04  0.0000000E+00  4.8056359E-02  0.0000000E+00
  7.8507600E+01  3.9401658E-03 -4.6998227E-04  0.0000000E+00  4.7657660E-02  0.0000000E+00
  7.8507600E+01  4.0562688E-03 -7.6429857E-04  0.0000000E+00  4.7153894E-02  0.0000000E+00
  7.8507600E+01  3.9172471E-03 -1.1621234E-03  0.0000000E+00  4.6540837E-02  0.0000000E+00
  7.8507600E+01  3.6301328E-03 -1.6657108E-03  0.0000000E+00  4.5821842E-02  0.0000000E+00
  7.8507600E+01  3.3744538E-03 -2.2704769E-03  0.0000000E+00  4.5004613E-02  0.0000000E+00
  7.8507600E+01  3.3613518E-03 -2.9659749E-03  0.0000000E+00  4.4103824E-02  0.0000000E+00
  7.8507600E+01  3.7917519E-03 -3.7409099E-03  0.0000000E+00  4.3137400E-02  0.0000000E+00
  7.8507600E+01  4.8183689E-03 -4.5825541E-03  0.0000000E+00  4.2128023E-02  0.0000000E+00
  7.8507600E+01  6.5243495E-03 -5.4791403E-03  0.0000000E+00  4.1097641E-02  0.0000000E+00
  7.8507600E+01  8.9166597E-03 -6.4143375E-03  0.0000000E+00  4.0068958E-02  0.0000000E+00
  7.8507600E+01  1.1934196E-02 -7.3661028E-03  0.0000000E+00  3.9062010E-02  0.0000000E+00
  7.8507600E+01  1.5462233E-02 -8.3044503E-03  0.0000000E+00  3.8093758E-02  0.0000000E+00
  7.8507600E+01  1.9353656E-02 -9.1918803E-03  0.0000000E+00  3.7177695E-02  0.0000000E+00
  7.8507600E+01  2.3456106E-02 -9.9860396E-03  0.0000000E+00  3.6322106E-02  0.0000000E+00
  7.8507600E+01  2.7621073E-02 -1.0640815E-02  0.0000000E+00  3.5532263E-02  0.0000000E+00
  7.8507600E+01  3.1733654E-02 -1.1112870E-02  0.0000000E+00  3.4808192E-02  0.0000000E+00
  7.8507600E+01  3.5718362E-02 -1.1364889E-02  0.0000000E+00  3.4146943E-02  0.0000000E+00
  7.8507600E+01  3.9542835E-02 -1.1370698E-02  0.0000000E+00  3.3543356E-02  0.0000000E+00
  7.8507600E+01  4.3218556E-02 -1.1117502E-02  0.0000000E+00  3.2989523E-02  0.0000000E+00
  7.8507600E+01  4.6785272E-02 -1.0603865E-02  0.0000000E+00  3.2477137E-02  0.0000000E+00
  7.8507600E+01  5.0313525E-02 -9.8360847E-03  0.0000000E+00  3.1997416E-02  0.0000000E+00
  7.8507600E+01  5.3899883E-02 -8.8376399E-03  0.0000000E+00  3.1542068E-02  0.0000000E+00
  7.8507600E+01  5.7642171E-02 -7.6440645E-03  0.0000000E+00  3.1102655E-02  0.0000000E+00
  7.8507600E+01  6.1616439E-02 -6.2943250E-03  0.0000000E+00  3.0672934E-02  0.0000000E+00
  7.8507600E+01  6.5893952E-02 -4.8106496E-03  0.0000000E+00  3.0246408E-02  0.0000000E+00
  7.8507600E+01  7.0544598E-02 -3.1919294E-03  0.0000000E+00  2.9816822E-02  0.0000000E+00
  7.8507600E+01  7.5631740E-02 -1.4348861E-03  0.0000000E+00  2.9381119E-02  0.0000000E+00
  7.8507600E+01  8.1139364E-02  4.2557897E-04  0.0000000E+00  2.8937767E-02  0.0000000E+00
  7.8507600E+01  8.7090153E-02  2.3446683E-03  0.0000000E+00  2.8487134E-02  0.0000000E+00
  7.8507600E+01  9.3472667E-02  4.2556453E-03  0.0000000E+00  2.8033538E-02  0.0000000E+00
  7.8507600E+01  1.0031335E-01  6.1210335E-03  0.0000000E+00  2.7580725E-02  0.0000000E+00
  7.8507600E+01  1.0767948E-01  7.9102073E-03  0.0000000E+00  2.7133905E-02  0.0000000E+00
  7.8507600E+01  1.1568184E-01  9.5746709E-03  0.0000000E+00  2.6701353E-02  0.0000000E+00
  7.8507600E+01  1.2452177E-01  1.1050575E-02  0.0000000E+00  2.6290318E-02  0.0000000E+00
  7.8507600E+01  1.3434472E-01  1.2262445E-02  0.0000000E+00  2.5907203E-02  0.0000000E+00
  7.8507600E+01  1.4497566E-01  1.3168797E-02  0.0000000E+00  2.5558555E-02  0.0000000E+00
  7.8507600E+01  1.5599336E-01  1.3763957E-02  0.0000000E+00  2.5251885E-02  0.0000000E+00
  7.8507600E+01  1.6696784E-01  1.4055493E-02  0.0000000E+00  2.4992419E-02  0.0000000E+00
  7.8507600E+01  1.7769630E-01  1.4019853E-02  0.0000000E+00  2.4786233E-02  0.0000000E+00
  7.8507600E+01  1.8809136E-01  1.3639520E-02  0.0000000E+00  2.4638669E-02  0.0000000E+00
  7.8507600E+01  1.9795362E-01  1.2922118E-02  0.0000000E+00  2.4554686E-02  0.0000000E+00
  7.8507600E+01  2.0703840E-01  1.1896580E-02  0.0000000E+00  2.4535936E-02  0.0000000E+00
  7.8507600E+01  2.1502821E-01  1.0617052E-02  0.0000000E+00  2.4582006E-02  0.0000000E+00
  7.8507600E+01  2.2158289E-01  9.1493376E-03  0.0000000E+00  2.4690461E-02  0.0000000E+00
