          atime         pst_uu         pst_vv         pst_ww         pm1avg           tavg
  7.8507600E+01 -1.7236708E-09  2.2930783E-06  0.0000000E+00  4.8925311E-02  0.0000000E+00
  7.8507600E+01 -9.1190976E-05  4.1125917E-04  0.0000000E+00  4.8925749E-02  0.0000000E+00
  7.8507600E+01 -3.6452282E-04  1.6238662E-03  0.0000000E+00  4.8927057E-02  0.0000000E+00
  7.8507600E+01 -8.1978639E-04  3.5983895E-03  0.0000000E+00  4.8929164E-02  0.0000000E+00
  7.8507600E+01 -1.4580480E-03  6.2682042E-03  0.0000000E+00  4.8931768E-02  0.0000000E+00
  7.8507600E+01 -2.2838910E-03  9.5473034E-03  0.0000000E+00  4.8934060E-02  0.0000000E+00
  7.8507600E+01 -3.3066671E-03  1.3332218E-02  0.0000000E+00  4.8934343E-02  0.0000000E+00
  7.8507600E+01 -4.5417092E-03  1.7506531E-02  0.0000000E+00  4.8929592E-02  0.0000000E+00
  7.8507600E+01 -6.0085880E-03  2.1940284E-02  0.0000000E+00  4.8914952E-02  0.0000000E+00
  7.8507600E+01 -7.7242430E-03  2.6485087E-02  0.0000000E+00  4.8883300E-02  0.0000000E+00
  7.8507600E+01 -9.6885781E-03  3.0963326E-02  0.0000000E+00  4.8824957E-02  0.0000000E+00
  7.8507600E+01 -1.1862258E-02  3.5153537E-02  0.0000000E+00  4.8727747E-02  0.0000000E+00
  7.8507600E+01 -1.4141981E-02  3.8784095E-02  0.0000000E+00  4.8577445E-02  0.0000000E+00
  7.8507600E+01 -1.6347298E-02  4.1541240E-02  0.0000000E+00  4.8358510E-02  0.0000000E+00
  7.8507600E+01 -1.8217560E-02  4.3087319E-02  0.0000000E+00  4.8056359E-02  0.0000000E+00
  7.8507600E+01 -1.9459864E-02  4.3130517E-02  0.0000000E+00  4.7657660E-02  0.0000000E+00
  7.8507600E+01 -1.9801831E-02  4.1486845E-02  0.0000000E+00  4.7153894E-02  0.0000000E+00
  7.8507600E+01 -1.9063216E-02  3.8138535E-02  0.0000000E+00  4.6540837E-02  0.0000000E+00
  7.8507600E+01 -1.7198704E-02  3.3267234E-02  0.0000000E+00  4.5821842E-02  0.0000000E+00
  7.8507600E+01 -1.4307032E-02  2.7219753E-02  0.0000000E+00  4.5004613E-02  0.0000000E+00
  7.8507600E+01 -1.0619307E-02  2.0477545E-02  0.0000000E+00  4.4103824E-02  0.0000000E+00
  7.8507600E+01 -6.4466649E-03  1.3568980E-02  0.0000000E+00  4.3137400E-02  0.0000000E+00
  7.8507600E+01 -2.1351276E-03  7.0129578E-03  0.0000000E+00  4.2128023E-02  0.0000000E+00
  7.8507600E+01  2.0086046E-03  1.2213422E-03  0.0000000E+00  4.1097641E-02  0.0000000E+00
  7.8507600E+01  5.7474710E-03 -3.5220396E-03  0.0000000E+00  4.0068958E-02  0.0000000E+00
  7.8507600E+01  8.9404935E-03 -7.0776756E-03  0.0000000E+00  3.9062010E-02  0.0000000E+00
  7.8507600E+01  1.1533829E-02 -9.4367728E-03  0.0000000E+00  3.8093758E-02  0.0000000E+00
  7.8507600E+01  1.3557580E-02 -1.0691374E-02  0.0000000E+00  3.7177695E-02  0.0000000E+00
  7.8507600E+01  1.5083964E-02 -1.0990109E-02  0.0000000E+00  3.6322106E-02  0.0000000E+00
  7.8507600E+01  1.6207408E-02 -1.0510059E-02  0.0000000E+00  3.5532263E-02  0.0000000E+00
  7.8507600E+01  1.7041509E-02 -9.4502269E-03  0.0000000E+00  3.4808192E-02  0.0000000E+00
  7.8507600E+01  1.7709199E-02 -8.0245675E-03  0.0000000E+00  3.4146943E-02  0.0000000E+00
  7.8507600E+01  1.8337420E-02 -6.4493564E-03  0.0000000E+00  3.3543356E-02  0.0000000E+00
  7.8507600E+01  1.9052811E-02 -4.9111114E-03  0.0000000E+00  3.2989523E-02  0.0000000E+00
  7.8507600E+01  1.9970491E-02 -3.5902887E-03  0.0000000E+00  3.2477137E-02  0.0000000E+00
  7.8507600E+01  2.1211276E-02 -2.6438138E-03  0.0000000E+00  3.1997416E-02  0.0000000E+00
  7.8507600E+01  2.2837460E-02 -2.1808767E-03  0.0000000E+00  3.1542068E-02  0.0000000E+00
  7.8507600E+01  2.4818965E-02 -2.1979090E-03  0.0000000E+00  3.1102655E-02  0.0000000E+00
  7.8507600E+01  2.7074090E-02 -2.6455346E-03  0.0000000E+00  3.0672934E-02  0.0000000E+00
  7.8507600E+01  2.9581249E-02 -3.5182140E-03  0.0000000E+00  3.0246408E-02  0.0000000E+00
  7.8507600E+01  3.2471683E-02 -4.9349971E-03  0.0000000E+00  2.9816822E-02  0.0000000E+00
  7.8507600E+01  3.5985139E-02 -7.1306553E-03  0.0000000E+00  2.9381119E-02  0.0000000E+00
  7.8507600E+01  4.0160292E-02 -1.0023553E-02  0.0000000E+00  2.8937767E-02  0.0000000E+00
  7.8507600E+01  4.4856512E-02 -1.3421393E-02  0.0000000E+00  2.8487134E-02  0.0000000E+00
  7.8507600E+01  4.9768222E-02 -1.6876743E-02  0.0000000E+00  2.8033538E-02  0.0000000E+00
  7.8507600E+01  5.4695343E-02 -2.0059750E-02  0.0000000E+00  2.7580725E-02  0.0000000E+00
  7.8507600E+01  5.9575524E-02 -2.2817524E-02  0.0000000E+00  2.7133905E-02  0.0000000E+00
  7.8507600E+01  6.4423866E-02 -2.5163797E-02  0.0000000E+00  2.6701353E-02  0.0000000E+00
  7.8507600E+01  6.9292114E-02 -2.7250830E-02  0.0000000E+00  2.6290318E-02  0.0000000E+00
  7.8507600E+01  7.4239492E-02 -2.9312839E-02  0.0000000E+00  2.5907203E-02  0.0000000E+00
  7.8507600E+01  7.9303593E-02 -3.1544483E-02  0.0000000E+00  2.5558555E-02  0.0000000E+00
  7.8507600E+01  8.4582694E-02 -3.4178907E-02  0.0000000E+00  2.5251885E-02  0.0000000E+00
  7.8507600E+01  8.9922032E-02 -3.7167406E-02  0.0000000E+00  2.4992419E-02  0.0000000E+00
  7.8507600E+01  9.5137468E-02 -4.0424722E-02  0.0000000E+00  2.4786233E-02  0.0000000E+00
  7.8507600E+01  1.0007456E-01 -4.3842472E-02  0.0000000E+00  2.4638669E-02  0.0000000E+00
  7.8507600E+01  1.0456530E-01 -4.7231823E-02  0.0000000E+00  2.4554686E-02  0.0000000E+00
  7.8507600E+01  1.0849691E-01 -5.0393234E-02  0.0000000E+00  2.4535936E-02  0.0000000E+00
  7.8507600E+01  1.1178638E-01 -5.3228082E-02  0.0000000E+00  2.4582006E-02  0.0000000E+00
  7.8507600E+01  1.1422824E-01 -5.5697777E-02  0.0000000E+00  2.4690461E-02  0.0000000E+00
  7.8507600E+01  1.1575134E-01 -5.7873008E-02  0.0000000E+00  2.4857585E-02  0.0000000E+00
  7.8507600E+01  1.1628259E-01 -5.9698720E-02  0.0000000E+00  2.5076332E-02  0.0000000E+00
  7.8507600E+01  1.1545741E-01 -6.0720164E-02  0.0000000E+00  2.5333599E-02  0.0000000E+00
  7.8507600E+01  1.1301535E-01 -6.0508881E-02  0.0000000E+00  2.5618114E-02  0.0000000E+00
  7.8507600E+01  1.0895133E-01 -5.8828003E-02  0.0000000E+00  2.5917972E-02  0.0000000E+00
  7.8507600E+01  1.0361973E-01 -5.5830336E-02  0.0000000E+00  2.6217469E-02  0.0000000E+00
  7.8507600E+01  9.7500780E-02 -5.2031078E-02  0.0000000E+00  2.6507018E-02  0.0000000E+00
  7.8507600E+01  9.1068233E-02 -4.7998486E-02  0.0000000E+00  2.6774874E-02  0.0000000E+00
  7.8507600E+01  8.4468328E-02 -4.3764746E-02  0.0000000E+00  2.7010378E-02  0.0000000E+00
  7.8507600E+01  7.7715383E-02 -3.9238599E-02  0.0000000E+00  2.7202253E-02  0.0000000E+00
  7.8507600E+01  7.0882681E-02 -3.4390069E-02  0.0000000E+00  2.7344730E-02  0.0000000E+00
  7.8507600E+01  6.4210874E-02 -2.9582291E-02  0.0000000E+00  2.7436116E-02  0.0000000E+00
  7.8507600E+01  5.7954171E-02 -2.5234336E-02  0.0000000E+00  2.7473400E-02  0.0000000E+00
  7.8507600E+01  5.2180083E-02 -2.1509195E-02  0.0000000E+00  2.7451676E-02  0.0000000E+00
  7.8507600E+01  4.6963590E-02 -1.8416107E-02  0.0000000E+00  2.7364179E-02  0.0000000E+00
  7.8507600E+01  4.2397418E-02 -1.5977669E-02  0.0000000E+00  2.7208295E-02  0.0000000E+00
  7.8507600E+01  3.8383022E-02 -1.3953390E-02  0.0000000E+00  2.6985437E-02  0.0000000E+00
  7.8507600E+01  3.4887281E-02 -1.2261312E-02  0.0000000E+00  2.6699419E-02  0.0000000E+00
  7.8507600E+01  3.1801014E-02 -1.0690591E-02  0.0000000E+00  2.6355424E-02  0.0000000E+00
  7.8507600E+01  2.9123488E-02 -9.3087198E-03  0.0000000E+00  2.5962072E-02  0.0000000E+00
  7.8507600E+01  2.6883409E-02 -8.2430768E-03  0.0000000E+00  2.5530297E-02  0.0000000E+00
  7.8507600E+01  2.5046174E-02 -7.5327501E-03  0.0000000E+00  2.5065797E-02  0.0000000E+00
  7.8507600E+01  2.3519041E-02 -7.1028079E-03  0.0000000E+00  2.4572863E-02  0.0000000E+00
  7.8507600E+01  2.2188970E-02 -6.8146775E-03  0.0000000E+00  2.4056791E-02  0.0000000E+00
  7.8507600E+01  2.0998409E-02 -6.6167123E-03  0.0000000E+00  2.3519740E-02  0.0000000E+00
  7.8507600E+01  2.0034689E-02 -6.5610825E-03  0.0000000E+00  2.2965453E-02  0.0000000E+00
  7.8507600E+01  1.9357536E-02 -6.6828241E-03  0.0000000E+00  2.2401940E-02  0.0000000E+00
  7.8507600E+01  1.8930284E-02 -6.9284426E-03  0.0000000E+00  2.1836149E-02  0.0000000E+00
  7.8507600E+01  1.8686048E-02 -7.2401689E-03  0.0000000E+00  2.1275657E-02  0.0000000E+00
  7.8507600E+01  1.8545504E-02 -7.5676290E-03  0.0000000E+00  2.0727111E-02  0.0000000E+00
  7.8507600E+01  1.8424732E-02 -7.8569805E-03  0.0000000E+00  2.0192731E-02  0.0000000E+00
  7.8507600E+01  1.8266131E-02 -8.0778405E-03  0.0000000E+00  1.9673491E-02  0.0000000E+00
  7.8507600E+01  1.8058677E-02 -8.2252160E-03  0.0000000E+00  1.9170114E-02  0.0000000E+00
  7.8507600E+01  1.7831430E-02 -8.3232747E-03  0.0000000E+00  1.8678534E-02  0.0000000E+00
  7.8507600E+01  1.7549515E-02 -8.3117435E-03  0.0000000E+00  1.8196094E-02  0.0000000E+00
  7.8507600E+01  1.7156847E-02 -8.1409898E-03  0.0000000E+00  1.7722941E-02  0.0000000E+00
  7.8507600E+01  1.6685855E-02 -7.8828538E-03  0.0000000E+00  1.7256713E-02  0.0000000E+00
  7.8507600E+01  1.6222570E-02 -7.6556339E-03  0.0000000E+00  1.6798886E-02  0.0000000E+00
  7.8507600E+01  1.5812551E-02 -7.5133357E-03  0.0000000E+00  1.6348536E-02  0.0000000E+00
  7.8507600E+01  1.5423709E-02 -7.4073760E-03  0.0000000E+00  1.5905508E-02  0.0000000E+00
  7.8507600E+01  1.5033825E-02 -7.2904843E-03  0.0000000E+00  1.5469726E-02  0.0000000E+00
  7.8507600E+01  1.4655720E-02 -7.1597493E-03  0.0000000E+00  1.5041925E-02  0.0000000E+00
  7.8507600E+01  1.4300569E-02 -7.0349475E-03  0.0000000E+00  1.4621454E-02  0.0000000E+00
  7.8507600E+01  1.3947533E-02 -6.8911870E-03  0.0000000E+00  1.4210983E-02  0.0000000E+00
  7.8507600E+01  1.3585995E-02 -6.7227784E-03  0.0000000E+00  1.3809456E-02  0.0000000E+00
  7.8507600E+01  1.3217595E-02 -6.5380805E-03  0.0000000E+00  1.3414665E-02  0.0000000E+00
  7.8507600E+01  1.2859111E-02 -6.3520685E-03  0.0000000E+00  1.3027983E-02  0.0000000E+00
  7.8507600E+01  1.2530055E-02 -6.1754340E-03  0.0000000E+00  1.2648812E-02  0.0000000E+00
  7.8507600E+01  1.2238211E-02 -6.0155220E-03  0.0000000E+00  1.2277440E-02  0.0000000E+00
  7.8507600E+01  1.1907409E-02 -5.7932080E-03  0.0000000E+00  1.1913860E-02  0.0000000E+00
  7.8507600E+01  1.1541112E-02 -5.5431906E-03  0.0000000E+00  1.1560212E-02  0.0000000E+00
  7.8507600E+01  1.1161706E-02 -5.2999444E-03  0.0000000E+00  1.1217420E-02  0.0000000E+00
  7.8507600E+01  1.0810591E-02 -5.1056837E-03  0.0000000E+00  1.0886510E-02  0.0000000E+00
  7.8507600E+01  1.0503878E-02 -4.9739844E-03  0.0000000E+00  1.0565698E-02  0.0000000E+00
  7.8507600E+01  1.0232423E-02 -4.8906996E-03  0.0000000E+00  1.0255184E-02  0.0000000E+00
  7.8507600E+01  9.9736764E-03 -4.8304224E-03  0.0000000E+00  9.9527241E-03  0.0000000E+00
  7.8507600E+01  9.7160264E-03 -4.7809403E-03  0.0000000E+00  9.6590530E-03  0.0000000E+00
  7.8507600E+01  9.4365554E-03 -4.7079959E-03  0.0000000E+00  9.3757406E-03  0.0000000E+00
  7.8507600E+01  9.1135711E-03 -4.5987004E-03  0.0000000E+00  9.1039669E-03  0.0000000E+00
  7.8507600E+01  8.7548765E-03 -4.4646950E-03  0.0000000E+00  8.8451368E-03  0.0000000E+00
  7.8507600E+01  8.3833493E-03 -4.3171028E-03  0.0000000E+00  8.5979090E-03  0.0000000E+00
  7.8507600E+01  8.0165000E-03 -4.1595018E-03  0.0000000E+00  8.3619948E-03  0.0000000E+00
  7.8507600E+01  7.6575500E-03 -3.9893820E-03  0.0000000E+00  8.1357417E-03  0.0000000E+00
  7.8507600E+01  7.3092598E-03 -3.8141791E-03  0.0000000E+00  7.9182520E-03  0.0000000E+00
  7.8507600E+01  6.9844093E-03 -3.6586023E-03  0.0000000E+00  7.7092871E-03  0.0000000E+00
  7.8507600E+01  6.6931224E-03 -3.5362631E-03  0.0000000E+00  7.5077284E-03  0.0000000E+00
