          atime         ptr_uu         ptr_vv         ptr_ww         pm1avg           tavg
  7.8507600E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8925311E-02  0.0000000E+00
  7.8507600E+01  4.4949329E-04 -1.4308277E-07  0.0000000E+00  4.8925749E-02  0.0000000E+00
  7.8507600E+01  1.7835957E-03 -2.1581925E-06  0.0000000E+00  4.8927057E-02  0.0000000E+00
  7.8507600E+01  3.9594391E-03 -1.0498803E-05  0.0000000E+00  4.8929164E-02  0.0000000E+00
  7.8507600E+01  6.9055472E-03 -3.1506658E-05  0.0000000E+00  4.8931768E-02  0.0000000E+00
  7.8507600E+01  1.0522996E-02 -7.1913374E-05  0.0000000E+00  4.8934060E-02  0.0000000E+00
  7.8507600E+01  1.4680227E-02 -1.3729947E-04  0.0000000E+00  4.8934343E-02  0.0000000E+00
  7.8507600E+01  1.9209642E-02 -2.3049857E-04  0.0000000E+00  4.8929592E-02  0.0000000E+00
  7.8507600E+01  2.3900162E-02 -3.4961981E-04  0.0000000E+00  4.8914952E-02  0.0000000E+00
  7.8507600E+01  2.8489194E-02 -4.8624906E-04  0.0000000E+00  4.8883300E-02  0.0000000E+00
  7.8507600E+01  3.2659404E-02 -6.2348668E-04  0.0000000E+00  4.8824957E-02  0.0000000E+00
  7.8507600E+01  3.6050373E-02 -7.3118537E-04  0.0000000E+00  4.8727747E-02  0.0000000E+00
  7.8507600E+01  3.8292894E-02 -7.7026134E-04  0.0000000E+00  4.8577445E-02  0.0000000E+00
  7.8507600E+01  3.9061358E-02 -6.9352958E-04  0.0000000E+00  4.8358510E-02  0.0000000E+00
  7.8507600E+01  3.8133720E-02 -4.5412817E-04  0.0000000E+00  4.8056359E-02  0.0000000E+00
  7.8507600E+01  3.5445198E-02 -2.3057233E-05  0.0000000E+00  4.7657660E-02  0.0000000E+00
  7.8507600E+01  3.1113622E-02  6.0065921E-04  0.0000000E+00  4.7153894E-02  0.0000000E+00
  7.8507600E+01  2.5417387E-02  1.3954170E-03  0.0000000E+00  4.6540837E-02  0.0000000E+00
  7.8507600E+01  1.8769310E-02  2.3018053E-03  0.0000000E+00  4.5821842E-02  0.0000000E+00
  7.8507600E+01  1.1622615E-02  3.2485275E-03  0.0000000E+00  4.5004613E-02  0.0000000E+00
  7.8507600E+01  4.4174902E-03  4.1701284E-03  0.0000000E+00  4.4103824E-02  0.0000000E+00
  7.8507600E+01 -2.5042080E-03  5.0376512E-03  0.0000000E+00  4.3137400E-02  0.0000000E+00
  7.8507600E+01 -8.9104528E-03  5.8544482E-03  0.0000000E+00  4.2128023E-02  0.0000000E+00
  7.8507600E+01 -1.4701682E-02  6.6493483E-03  0.0000000E+00  4.1097641E-02  0.0000000E+00
  7.8507600E+01 -1.9853249E-02  7.4534812E-03  0.0000000E+00  4.0068958E-02  0.0000000E+00
  7.8507600E+01 -2.4395398E-02  8.2652390E-03  0.0000000E+00  3.9062010E-02  0.0000000E+00
  7.8507600E+01 -2.8381588E-02  9.0461245E-03  0.0000000E+00  3.8093758E-02  0.0000000E+00
  7.8507600E+01 -3.1861064E-02  9.7196122E-03  0.0000000E+00  3.7177695E-02  0.0000000E+00
  7.8507600E+01 -3.4891170E-02  1.0185314E-02  0.0000000E+00  3.6322106E-02  0.0000000E+00
  7.8507600E+01 -3.7531096E-02  1.0360711E-02  0.0000000E+00  3.5532263E-02  0.0000000E+00
  7.8507600E+01 -3.9849676E-02  1.0205956E-02  0.0000000E+00  3.4808192E-02  0.0000000E+00
  7.8507600E+01 -4.1924189E-02  9.7385635E-03  0.0000000E+00  3.4146943E-02  0.0000000E+00
  7.8507600E+01 -4.3842263E-02  9.0430236E-03  0.0000000E+00  3.3543356E-02  0.0000000E+00
  7.8507600E+01 -4.5697125E-02  8.2699947E-03  0.0000000E+00  3.2989523E-02  0.0000000E+00
  7.8507600E+01 -4.7599629E-02  7.5530022E-03  0.0000000E+00  3.2477137E-02  0.0000000E+00
  7.8507600E+01 -4.9648833E-02  7.0410929E-03  0.0000000E+00  3.1997416E-02  0.0000000E+00
  7.8507600E+01 -5.1866990E-02  6.7948373E-03  0.0000000E+00  3.1542068E-02  0.0000000E+00
  7.8507600E+01 -5.4242916E-02  6.8252697E-03  0.0000000E+00  3.1102655E-02  0.0000000E+00
  7.8507600E+01 -5.6796544E-02  7.1225793E-03  0.0000000E+00  3.0672934E-02  0.0000000E+00
  7.8507600E+01 -5.9577054E-02  7.6572515E-03  0.0000000E+00  3.0246408E-02  0.0000000E+00
  7.8507600E+01 -6.2605262E-02  8.3952522E-03  0.0000000E+00  2.9816822E-02  0.0000000E+00
  7.8507600E+01 -6.5865581E-02  9.3924553E-03  0.0000000E+00  2.9381119E-02  0.0000000E+00
  7.8507600E+01 -6.9278863E-02  1.0572277E-02  0.0000000E+00  2.8937767E-02  0.0000000E+00
  7.8507600E+01 -7.2855955E-02  1.2217682E-02  0.0000000E+00  2.8487134E-02  0.0000000E+00
  7.8507600E+01 -7.6608756E-02  1.4431807E-02  0.0000000E+00  2.8033538E-02  0.0000000E+00
  7.8507600E+01 -8.0636654E-02  1.7307229E-02  0.0000000E+00  2.7580725E-02  0.0000000E+00
  7.8507600E+01 -8.5021126E-02  2.0863729E-02  0.0000000E+00  2.7133905E-02  0.0000000E+00
  7.8507600E+01 -8.9760697E-02  2.4983814E-02  0.0000000E+00  2.6701353E-02  0.0000000E+00
  7.8507600E+01 -9.4814690E-02  2.9443965E-02  0.0000000E+00  2.6290318E-02  0.0000000E+00
  7.8507600E+01 -1.0016656E-01  3.4013473E-02  0.0000000E+00  2.5907203E-02  0.0000000E+00
  7.8507600E+01 -1.0564093E-01  3.8282107E-02  0.0000000E+00  2.5558555E-02  0.0000000E+00
  7.8507600E+01 -1.1104138E-01  4.2117907E-02  0.0000000E+00  2.5251885E-02  0.0000000E+00
  7.8507600E+01 -1.1621270E-01  4.5464846E-02  0.0000000E+00  2.4992419E-02  0.0000000E+00
  7.8507600E+01 -1.2106883E-01  4.8242131E-02  0.0000000E+00  2.4786233E-02  0.0000000E+00
  7.8507600E+01 -1.2552676E-01  5.0343394E-02  0.0000000E+00  2.4638669E-02  0.0000000E+00
  7.8507600E+01 -1.2941248E-01  5.1630736E-02  0.0000000E+00  2.4554686E-02  0.0000000E+00
  7.8507600E+01 -1.3255676E-01  5.2053963E-02  0.0000000E+00  2.4535936E-02  0.0000000E+00
  7.8507600E+01 -1.3489478E-01  5.1762112E-02  0.0000000E+00  2.4582006E-02  0.0000000E+00
  7.8507600E+01 -1.3650961E-01  5.0907046E-02  0.0000000E+00  2.4690461E-02  0.0000000E+00
  7.8507600E+01 -1.3758230E-01  4.9519791E-02  0.0000000E+00  2.4857585E-02  0.0000000E+00
  7.8507600E+01 -1.3826496E-01  4.7588452E-02  0.0000000E+00  2.5076332E-02  0.0000000E+00
  7.8507600E+01 -1.3820426E-01  4.5118318E-02  0.0000000E+00  2.5333599E-02  0.0000000E+00
  7.8507600E+01 -1.3693568E-01  4.2254597E-02  0.0000000E+00  2.5618114E-02  0.0000000E+00
  7.8507600E+01 -1.3408758E-01  3.9199447E-02  0.0000000E+00  2.5917972E-02  0.0000000E+00
  7.8507600E+01 -1.2956905E-01  3.6117710E-02  0.0000000E+00  2.6217469E-02  0.0000000E+00
  7.8507600E+01 -1.2359172E-01  3.3010788E-02  0.0000000E+00  2.6507018E-02  0.0000000E+00
  7.8507600E+01 -1.1688781E-01  2.9916497E-02  0.0000000E+00  2.6774874E-02  0.0000000E+00
  7.8507600E+01 -1.0999441E-01  2.7214439E-02  0.0000000E+00  2.7010378E-02  0.0000000E+00
  7.8507600E+01 -1.0314743E-01  2.5055115E-02  0.0000000E+00  2.7202253E-02  0.0000000E+00
  7.8507600E+01 -9.6063743E-02  2.3184743E-02  0.0000000E+00  2.7344730E-02  0.0000000E+00
  7.8507600E+01 -8.8607040E-02  2.1435566E-02  0.0000000E+00  2.7436116E-02  0.0000000E+00
  7.8507600E+01 -8.0972539E-02  1.9780354E-02  0.0000000E+00  2.7473400E-02  0.0000000E+00
  7.8507600E+01 -7.3424841E-02  1.8287172E-02  0.0000000E+00  2.7451676E-02  0.0000000E+00
  7.8507600E+01 -6.6314170E-02  1.7064413E-02  0.0000000E+00  2.7364179E-02  0.0000000E+00
  7.8507600E+01 -5.9966578E-02  1.6037284E-02  0.0000000E+00  2.7208295E-02  0.0000000E+00
  7.8507600E+01 -5.4256908E-02  1.5372157E-02  0.0000000E+00  2.6985437E-02  0.0000000E+00
  7.8507600E+01 -4.9174613E-02  1.5038212E-02  0.0000000E+00  2.6699419E-02  0.0000000E+00
