          atime        conv_uu        conv_vv        conv_ww         pm1avg           tavg
  2.0799350E+02 -5.2693575E-07  3.7048534E-07  0.0000000E+00 -8.4116403E-02  0.0000000E+00
  2.0799350E+02 -2.1073751E-03  1.1458718E-04  0.0000000E+00 -8.3523519E-02  0.0000000E+00
  2.0799350E+02  9.8573149E-04  6.0629576E-04  0.0000000E+00 -8.2266432E-02  0.0000000E+00
  2.0799350E+02  1.5194523E-02 -8.1416180E-04  0.0000000E+00 -8.0429800E-02  0.0000000E+00
  2.0799350E+02  2.2625877E-02 -5.4113335E-03  0.0000000E+00 -7.8449917E-02  0.0000000E+00
  2.0799350E+02  1.6955490E-02 -1.1146766E-02  0.0000000E+00 -7.6577742E-02  0.0000000E+00
  2.0799350E+02  7.2946836E-03 -1.5935169E-02  0.0000000E+00 -7.4857711E-02  0.0000000E+00
  2.0799350E+02 -2.9235790E-03 -1.8973379E-02  0.0000000E+00 -7.3235418E-02  0.0000000E+00
  2.0799350E+02 -1.1666430E-02 -2.0356641E-02  0.0000000E+00 -7.1635461E-02  0.0000000E+00
  2.0799350E+02 -1.8237853E-02 -2.0339310E-02  0.0000000E+00 -6.9996317E-02  0.0000000E+00
  2.0799350E+02 -2.2827506E-02 -1.9293721E-02  0.0000000E+00 -6.8274457E-02  0.0000000E+00
  2.0799350E+02 -2.5992135E-02 -1.7680294E-02  0.0000000E+00 -6.6451041E-02  0.0000000E+00
  2.0799350E+02 -2.8231773E-02 -1.5865404E-02  0.0000000E+00 -6.4535137E-02  0.0000000E+00
  2.0799350E+02 -2.9558666E-02 -1.3984778E-02  0.0000000E+00 -6.2559026E-02  0.0000000E+00
  2.0799350E+02 -2.9656341E-02 -1.2000848E-02  0.0000000E+00 -6.0563377E-02  0.0000000E+00
  2.0799350E+02 -2.9016066E-02 -1.0058056E-02  0.0000000E+00 -5.8573726E-02  0.0000000E+00
  2.0799350E+02 -2.7651352E-02 -8.2082625E-03  0.0000000E+00 -5.6602816E-02  0.0000000E+00
  2.0799350E+02 -2.5391454E-02 -6.5434387E-03  0.0000000E+00 -5.4656926E-02  0.0000000E+00
  2.0799350E+02 -2.2803491E-02 -5.2115354E-03  0.0000000E+00 -5.2745672E-02  0.0000000E+00
  2.0799350E+02 -2.0285028E-02 -4.2674689E-03  0.0000000E+00 -5.0877670E-02  0.0000000E+00
  2.0799350E+02 -1.7828647E-02 -3.6571699E-03  0.0000000E+00 -4.9058430E-02  0.0000000E+00
  2.0799350E+02 -1.5220053E-02 -3.2361761E-03  0.0000000E+00 -4.7290626E-02  0.0000000E+00
  2.0799350E+02 -1.2387417E-02 -2.8174208E-03  0.0000000E+00 -4.5575487E-02  0.0000000E+00
  2.0799350E+02 -9.6196573E-03 -2.2428744E-03  0.0000000E+00 -4.3914070E-02  0.0000000E+00
  2.0799350E+02 -7.3713498E-03 -1.4736932E-03  0.0000000E+00 -4.2307157E-02  0.0000000E+00
  2.0799350E+02 -5.3719827E-03 -6.9353138E-04  0.0000000E+00 -4.0752531E-02  0.0000000E+00
  2.0799350E+02 -3.2431434E-03 -4.0433314E-05  0.0000000E+00 -3.9246318E-02  0.0000000E+00
  2.0799350E+02 -6.9488839E-04  5.0207416E-04  0.0000000E+00 -3.7791355E-02  0.0000000E+00
  2.0799350E+02  1.7062691E-03  8.2130978E-04  0.0000000E+00 -3.6376289E-02  0.0000000E+00
  2.0799350E+02  3.2193395E-03  9.5609707E-04  0.0000000E+00 -3.5009424E-02  0.0000000E+00
  2.0799350E+02  3.7579278E-03  9.5414754E-04  0.0000000E+00 -3.3699519E-02  0.0000000E+00
  2.0799350E+02  3.6430566E-03  8.4837646E-04  0.0000000E+00 -3.2452893E-02  0.0000000E+00
  2.0799350E+02  3.3468188E-03  6.5675524E-04  0.0000000E+00 -3.1271077E-02  0.0000000E+00
  2.0799350E+02  3.2605275E-03  3.9460899E-04  0.0000000E+00 -3.0150842E-02  0.0000000E+00
  2.0799350E+02  3.5249887E-03  8.9460854E-05  0.0000000E+00 -2.9085790E-02  0.0000000E+00
  2.0799350E+02  3.9605192E-03 -2.1147476E-04  0.0000000E+00 -2.8068657E-02  0.0000000E+00
  2.0799350E+02  4.1343343E-03 -4.5104853E-04  0.0000000E+00 -2.7093501E-02  0.0000000E+00
  2.0799350E+02  3.6029298E-03 -5.9908017E-04  0.0000000E+00 -2.6156944E-02  0.0000000E+00
  2.0799350E+02  2.3670811E-03 -7.2630817E-04  0.0000000E+00 -2.5257619E-02  0.0000000E+00
  2.0799350E+02  1.0711978E-03 -8.7589514E-04  0.0000000E+00 -2.4394622E-02  0.0000000E+00
  2.0799350E+02 -1.0064792E-05 -1.0844679E-03  0.0000000E+00 -2.3563779E-02  0.0000000E+00
  2.0799350E+02 -7.7136200E-04 -1.3036503E-03  0.0000000E+00 -2.2762374E-02  0.0000000E+00
  2.0799350E+02 -1.2668756E-03 -1.4288213E-03  0.0000000E+00 -2.1989609E-02  0.0000000E+00
  2.0799350E+02 -1.5233316E-03 -1.4601607E-03  0.0000000E+00 -2.1244587E-02  0.0000000E+00
  2.0799350E+02 -1.5806478E-03 -1.4368632E-03  0.0000000E+00 -2.0526181E-02  0.0000000E+00
  2.0799350E+02 -1.5056231E-03 -1.3970207E-03  0.0000000E+00 -1.9832933E-02  0.0000000E+00
  2.0799350E+02 -1.3858281E-03 -1.3582655E-03  0.0000000E+00 -1.9162985E-02  0.0000000E+00
  2.0799350E+02 -1.3108609E-03 -1.3142681E-03  0.0000000E+00 -1.8514094E-02  0.0000000E+00
  2.0799350E+02 -1.3481279E-03 -1.2421843E-03  0.0000000E+00 -1.7883733E-02  0.0000000E+00
  2.0799350E+02 -1.5203134E-03 -1.1161442E-03  0.0000000E+00 -1.7269336E-02  0.0000000E+00
  2.0799350E+02 -1.7916986E-03 -9.2187712E-04  0.0000000E+00 -1.6668676E-02  0.0000000E+00
  2.0799350E+02 -2.0704911E-03 -6.6756628E-04  0.0000000E+00 -1.6080447E-02  0.0000000E+00
  2.0799350E+02 -2.2343290E-03 -3.8602676E-04  0.0000000E+00 -1.5505037E-02  0.0000000E+00
  2.0799350E+02 -2.1861193E-03 -1.2330020E-04  0.0000000E+00 -1.4945549E-02  0.0000000E+00
  2.0799350E+02 -1.8530247E-03  9.6956492E-05  0.0000000E+00 -1.4403164E-02  0.0000000E+00
  2.0799350E+02 -1.3246377E-03  1.2714328E-04  0.0000000E+00 -1.3879610E-02  0.0000000E+00
  2.0799350E+02 -8.8212591E-04  9.2422738E-05  0.0000000E+00 -1.3373855E-02  0.0000000E+00
  2.0799350E+02 -5.8316065E-04  7.5625394E-05  0.0000000E+00 -1.2885140E-02  0.0000000E+00
  2.0799350E+02 -3.8472802E-04  8.1956930E-05  0.0000000E+00 -1.2412852E-02  0.0000000E+00
  2.0799350E+02 -2.1940698E-04  8.9088946E-05  0.0000000E+00 -1.1956793E-02  0.0000000E+00
  2.0799350E+02 -3.8026102E-05  7.6992911E-05  0.0000000E+00 -1.1516748E-02  0.0000000E+00
  2.0799350E+02  1.7349027E-04  4.1388294E-05  0.0000000E+00 -1.1092292E-02  0.0000000E+00
  2.0799350E+02  3.9619688E-04 -5.0991868E-06  0.0000000E+00 -1.0682756E-02  0.0000000E+00
  2.0799350E+02  5.9223366E-04 -3.9973273E-05  0.0000000E+00 -1.0287306E-02  0.0000000E+00
  2.0799350E+02  7.2407339E-04 -4.2000906E-05  0.0000000E+00 -9.9050745E-03  0.0000000E+00
  2.0799350E+02  7.7202121E-04 -2.3480608E-06  0.0000000E+00 -9.5352792E-03  0.0000000E+00
  2.0799350E+02  7.4307619E-04  6.8378242E-05  0.0000000E+00 -9.1772813E-03  0.0000000E+00
