          atime             vx             vy             vz             pr        garbage
  2.0799350E+02  1.1063317E+00  1.8649832E-03 -6.3258234E-04 -1.4591834E-02  0.0000000E+00
  2.0799350E+02  1.1101985E+00  1.6086270E-03 -5.4204643E-04 -1.4078576E-02  0.0000000E+00
  2.0799350E+02  1.1139649E+00  1.4003215E-03 -4.5729745E-04 -1.3584228E-02  0.0000000E+00
  2.0799350E+02  1.1176645E+00  1.2385890E-03 -3.5480316E-04 -1.3108055E-02  0.0000000E+00
  2.0799350E+02  1.1213266E+00  1.1183415E-03 -2.3263269E-04 -1.2649412E-02  0.0000000E+00
  2.0799350E+02  1.1249770E+00  1.0324089E-03 -1.0242941E-04 -1.2207118E-02  0.0000000E+00
  2.0799350E+02  1.1286375E+00  9.7277680E-04  1.7300370E-05 -1.1779312E-02  0.0000000E+00
  2.0799350E+02  1.1323225E+00  9.3155294E-04  1.0662193E-04 -1.1363648E-02  0.0000000E+00
  2.0799350E+02  1.1360372E+00  9.0168058E-04  1.4836882E-04 -1.0957708E-02  0.0000000E+00
  2.0799350E+02  1.1397745E+00  8.7741710E-04  1.3114066E-04 -1.0559477E-02  0.0000000E+00
  2.0799350E+02  1.1435146E+00  8.5459647E-04  5.1141079E-05 -1.0167764E-02  0.0000000E+00
  2.0799350E+02  1.1472271E+00  8.3069416E-04 -8.7105274E-05 -9.7824210E-03  0.0000000E+00
  2.0799350E+02  1.1508763E+00  8.0471272E-04 -2.7111769E-04 -9.4042360E-03  0.0000000E+00
  2.0799350E+02  1.1544310E+00  7.7690679E-04 -4.8186730E-04 -9.0343484E-03  0.0000000E+00
  2.0799350E+02  1.1578799E+00  7.4836582E-04 -6.9618906E-04 -8.6730689E-03  0.0000000E+00
  2.0799350E+02  1.1612447E+00  7.1969969E-04 -9.1017663E-04 -8.3206031E-03  0.0000000E+00
  2.0799350E+02  1.1645350E+00  6.8890159E-04 -1.1160484E-03 -7.9803089E-03  0.0000000E+00
  2.0799350E+02  1.1677755E+00  6.5686601E-04 -1.2587599E-03 -7.6489757E-03  0.0000000E+00
  2.0799350E+02  1.1709671E+00  6.2092572E-04 -1.3617612E-03 -7.3285203E-03  0.0000000E+00
  2.0799350E+02  1.1740998E+00  5.7733166E-04 -1.4466103E-03 -7.0196650E-03  0.0000000E+00
  2.0799350E+02  1.1771601E+00  5.2268485E-04 -1.5269441E-03 -6.7223810E-03  0.0000000E+00
  2.0799350E+02  1.1801363E+00  4.5484758E-04 -1.6063315E-03 -6.4362171E-03  0.0000000E+00
  2.0799350E+02  1.1830214E+00  3.7341773E-04 -1.6791472E-03 -6.1605313E-03  0.0000000E+00
  2.0799350E+02  1.1858147E+00  2.7985019E-04 -1.7336056E-03 -5.8946407E-03  0.0000000E+00
  2.0799350E+02  1.1885223E+00  1.7730944E-04 -1.7560939E-03 -5.6379068E-03  0.0000000E+00
  2.0799350E+02  1.1911552E+00  7.0336985E-05 -1.7359436E-03 -5.3897730E-03  0.0000000E+00
  2.0799350E+02  1.1937275E+00 -3.5582247E-05 -1.6697789E-03 -5.1497702E-03  0.0000000E+00
  2.0799350E+02  1.1962535E+00 -1.3447062E-04 -1.5645818E-03 -4.9175069E-03  0.0000000E+00
  2.0799350E+02  1.1987395E+00 -2.2010161E-04 -1.4388453E-03 -4.6930632E-03  0.0000000E+00
  2.0799350E+02  1.2011979E+00 -2.8683364E-04 -1.3195209E-03 -4.4753811E-03  0.0000000E+00
  2.0799350E+02  1.2036162E+00 -3.2865857E-04 -1.2375271E-03 -4.2647563E-03  0.0000000E+00
  2.0799350E+02  1.2059713E+00 -3.3954175E-04 -1.2161556E-03 -4.0612883E-03  0.0000000E+00
  2.0799350E+02  1.2082315E+00 -3.1814451E-04 -1.2584368E-03 -3.8637515E-03  0.0000000E+00
  2.0799350E+02  1.2103799E+00 -2.7490905E-04 -1.3424987E-03 -3.6707696E-03  0.0000000E+00
  2.0799350E+02  1.2124077E+00 -2.1943987E-04 -1.4644671E-03 -3.4833166E-03  0.0000000E+00
  2.0799350E+02  1.2143163E+00 -1.6203539E-04 -1.6260778E-03 -3.3004648E-03  0.0000000E+00
  2.0799350E+02  1.2161043E+00 -1.0756664E-04 -1.8219155E-03 -3.1221364E-03  0.0000000E+00
  2.0799350E+02  1.2177715E+00 -5.8172469E-05 -2.0407443E-03 -2.9487342E-03  0.0000000E+00
  2.0799350E+02  1.2193207E+00 -1.4956882E-05 -2.2675382E-03 -2.7808580E-03  0.0000000E+00
  2.0799350E+02  1.2207580E+00  2.1130429E-05 -2.4859014E-03 -2.6190959E-03  0.0000000E+00
  2.0799350E+02  1.2220933E+00  4.9049672E-05 -2.6805630E-03 -2.4638838E-03  0.0000000E+00
  2.0799350E+02  1.2233380E+00  6.7881719E-05 -2.8396339E-03 -2.3154217E-03  0.0000000E+00
  2.0799350E+02  1.2245043E+00  7.7313214E-05 -2.9563105E-03 -2.1736407E-03  0.0000000E+00
  2.0799350E+02  1.2256027E+00  7.8215166E-05 -3.0297149E-03 -2.0382098E-03  0.0000000E+00
  2.0799350E+02  1.2266398E+00  7.3134183E-05 -3.0645545E-03 -1.9085745E-03  0.0000000E+00
  2.0799350E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -8.4321487E-02  0.0000000E+00
  2.0799350E+02  2.7017838E-01  5.0713763E-04 -4.9971169E-04 -8.3735142E-02  0.0000000E+00
  2.0799350E+02  5.0104213E-01  7.4769214E-03  2.5457365E-04 -8.2586868E-02  0.0000000E+00
  2.0799350E+02  6.5320496E-01  1.4899642E-02  1.4079257E-03 -8.0896140E-02  0.0000000E+00
  2.0799350E+02  7.3700084E-01  2.0064005E-02  2.3312851E-03 -7.9054848E-02  0.0000000E+00
  2.0799350E+02  7.8055229E-01  2.2929138E-02  2.7381597E-03 -7.7323076E-02  0.0000000E+00
  2.0799350E+02  8.0405119E-01  2.4248445E-02  2.5369342E-03 -7.5757822E-02  0.0000000E+00
  2.0799350E+02  8.1791546E-01  2.4698346E-02  1.7390889E-03 -7.4300355E-02  0.0000000E+00
  2.0799350E+02  8.2727008E-01  2.4667483E-02  4.6659145E-04 -7.2854938E-02  0.0000000E+00
  2.0799350E+02  8.3463416E-01  2.4282577E-02 -1.0104167E-03 -7.1339878E-02  0.0000000E+00
