          atime        pres_st        turb_df           diss        visc_df        garbage
  2.0799350E+02  2.0905150E-02 -7.4971361E-03 -1.5285157E-02 -1.7954195E-03  1.0129986E-01
  2.0799350E+02  1.9431160E-02 -1.8853961E-03 -1.4530207E-02 -1.4613893E-03  9.3289294E-02
  2.0799350E+02  1.7948459E-02  3.5026195E-03 -1.3800191E-02 -1.0581357E-03  8.4866869E-02
  2.0799350E+02  1.6502576E-02  8.3539493E-03 -1.3100669E-02 -5.9360026E-04  7.6339544E-02
  2.0799350E+02  1.5121981E-02  1.2461940E-02 -1.2426179E-02 -1.0796535E-04  6.7954358E-02
  2.0799350E+02  1.3820040E-02  1.5728500E-02 -1.1762910E-02  3.4088551E-04  5.9891911E-02
  2.0799350E+02  1.2618638E-02  1.8110328E-02 -1.1104668E-02  6.9249539E-04  5.2396009E-02
  2.0799350E+02  1.1518506E-02  1.9676765E-02 -1.0444032E-02  9.2065009E-04  4.5569822E-02
  2.0799350E+02  1.0521415E-02  2.0501815E-02 -9.7917118E-03  1.0457138E-03  3.9495900E-02
  2.0799350E+02  9.6374331E-03  2.0585451E-02 -9.1929002E-03  1.1375208E-03  3.4268830E-02
  2.0799350E+02  8.8553459E-03  1.9724239E-02 -8.7188099E-03  1.2842272E-03  2.9825702E-02
  2.0799350E+02  8.1060587E-03  1.7758002E-02 -8.0500863E-03  1.3164077E-03  2.6073839E-02
  2.0799350E+02  7.3801515E-03  1.6006991E-02 -7.0113346E-03  1.1073717E-03  2.2910545E-02
  2.0799350E+02  6.7899475E-03  1.4221595E-02 -6.3571959E-03  9.8295454E-04  2.0351846E-02
  2.0799350E+02  6.2921075E-03  1.2397405E-02 -5.8827775E-03  8.7043331E-04  1.8284539E-02
  2.0799350E+02  5.8581041E-03  1.0550913E-02 -5.4877871E-03  7.4912384E-04  1.6614130E-02
  2.0799350E+02  5.4740231E-03  8.7280327E-03 -5.1402968E-03  6.2631447E-04  1.5276770E-02
  2.0799350E+02  5.1279572E-03  6.9560170E-03 -4.8368272E-03  5.1571580E-04  1.4203411E-02
  2.0799350E+02  4.8157266E-03  5.2773872E-03 -4.5870209E-03  4.2793535E-04  1.3348741E-02
  2.0799350E+02  4.5342987E-03  3.7268900E-03 -4.3951276E-03  3.6338542E-04  1.2672499E-02
  2.0799350E+02  4.2817889E-03  2.3368616E-03 -4.2547640E-03  3.1268218E-04  1.2141670E-02
  2.0799350E+02  4.0557301E-03  1.1305401E-03 -4.1491654E-03  2.6112993E-04  1.1726591E-02
  2.0799350E+02  3.8534494E-03  1.2395336E-04 -4.0579188E-03  1.9617836E-04  1.1401613E-02
  2.0799350E+02  3.6735037E-03 -6.7048236E-04 -3.9661169E-03  1.1515151E-04  1.1146488E-02
  2.0799350E+02  3.5164405E-03 -1.2499338E-03 -3.8724130E-03  3.0186762E-05  1.0946286E-02
  2.0799350E+02  3.3834365E-03 -1.6386777E-03 -3.7903927E-03 -3.5247329E-05  1.0789813E-02
  2.0799350E+02  3.2783617E-03 -1.8976929E-03 -3.7412522E-03 -5.9442311E-05  1.0673407E-02
  2.0799350E+02  3.2060138E-03 -2.1575601E-03 -3.7271270E-03 -5.4886343E-05  1.0600912E-02
  2.0799350E+02  3.1183609E-03 -2.1271774E-03 -3.5646881E-03 -1.4305601E-04  1.0565649E-02
  2.0799350E+02  3.0431263E-03 -1.9798463E-03 -3.4322519E-03 -1.3408093E-04  1.0532063E-02
  2.0799350E+02  2.9770852E-03 -1.8135880E-03 -3.3262985E-03 -9.1780383E-05  1.0477954E-02
  2.0799350E+02  2.9126433E-03 -1.6323300E-03 -3.2276851E-03 -5.8994547E-05  1.0393370E-02
  2.0799350E+02  2.8466008E-03 -1.4305892E-03 -3.1312511E-03 -4.6037701E-05  1.0276749E-02
  2.0799350E+02  2.7789675E-03 -1.2058868E-03 -3.0391228E-03 -4.6832397E-05  1.0131515E-02
  2.0799350E+02  2.7114292E-03 -9.6360330E-04 -2.9552753E-03 -5.0451693E-05  9.9624058E-03
  2.0799350E+02  2.6466256E-03 -7.1891048E-04 -2.8828113E-03 -4.8318200E-05  9.7741086E-03
  2.0799350E+02  2.5872528E-03 -4.9378645E-04 -2.8222515E-03 -3.7525320E-05  9.5705976E-03
  2.0799350E+02  2.5345931E-03 -3.0823217E-04 -2.7705443E-03 -2.0795963E-05  9.3524863E-03
  2.0799350E+02  2.4886909E-03 -1.7605062E-04 -2.7226899E-03 -4.2375737E-06  9.1194706E-03
  2.0799350E+02  2.4480356E-03 -9.8326022E-05 -2.6733842E-03  6.1635227E-06  8.8716089E-03
  2.0799350E+02  2.4093597E-03 -6.0636530E-05 -2.6188264E-03  8.1867773E-06  8.6083362E-03
