          atime         eps_uu         eps_vv         eps_ww         pm1avg           tavg
  3.6000000E+02 -6.3686879E-03 -4.5823864E-03 -5.6490801E-03 -2.5944352E-02  0.0000000E+00
  3.6000000E+02 -6.2283070E-03 -4.4833633E-03 -5.5149331E-03 -2.5259425E-02  0.0000000E+00
  3.6000000E+02 -5.9536867E-03 -4.3878081E-03 -5.2779365E-03 -2.4593245E-02  0.0000000E+00
  3.6000000E+02 -5.6976105E-03 -4.2847263E-03 -5.1443477E-03 -2.3946678E-02  0.0000000E+00
  3.6000000E+02 -5.4759865E-03 -4.1844752E-03 -5.0350015E-03 -2.3317850E-02  0.0000000E+00
  3.6000000E+02 -5.2938457E-03 -4.0900661E-03 -4.9198571E-03 -2.2705306E-02  0.0000000E+00
  3.6000000E+02 -5.1486567E-03 -4.0007714E-03 -4.7956239E-03 -2.2107789E-02  0.0000000E+00
  3.6000000E+02 -5.0332175E-03 -3.9146106E-03 -4.6701092E-03 -2.1524132E-02  0.0000000E+00
  3.6000000E+02 -4.9381114E-03 -3.8298863E-03 -4.5522755E-03 -2.0953234E-02  0.0000000E+00
  3.6000000E+02 -4.8537179E-03 -3.7459351E-03 -4.4469921E-03 -2.0394109E-02  0.0000000E+00
  3.6000000E+02 -4.7717661E-03 -3.6632650E-03 -4.3534687E-03 -1.9845963E-02  0.0000000E+00
  3.6000000E+02 -4.6864210E-03 -3.5832471E-03 -4.2663557E-03 -1.9308289E-02  0.0000000E+00
  3.6000000E+02 -4.5948908E-03 -3.5075294E-03 -4.1784984E-03 -1.8780950E-02  0.0000000E+00
  3.6000000E+02 -4.4975455E-03 -3.4373424E-03 -4.0843306E-03 -1.8264215E-02  0.0000000E+00
  3.6000000E+02 -4.3975342E-03 -3.3728648E-03 -3.9828943E-03 -1.7758743E-02  0.0000000E+00
  3.6000000E+02 -4.2998920E-03 -3.3128176E-03 -3.8794713E-03 -1.7265468E-02  0.0000000E+00
  3.6000000E+02 -4.2101241E-03 -3.2544558E-03 -3.7848130E-03 -1.6785374E-02  0.0000000E+00
  3.6000000E+02 -4.1322577E-03 -3.1941257E-03 -3.7109543E-03 -1.6319127E-02  0.0000000E+00
  3.6000000E+02 -4.0663488E-03 -3.1285575E-03 -3.6625986E-03 -1.5866544E-02  0.0000000E+00
  3.6000000E+02 -4.0054355E-03 -3.0570601E-03 -3.6230587E-03 -1.5425870E-02  0.0000000E+00
  3.6000000E+02 -3.8823757E-03 -2.9892268E-03 -3.5283648E-03 -1.4998597E-02  0.0000000E+00
  3.6000000E+02 -3.7539877E-03 -2.9199637E-03 -3.4262894E-03 -1.4579918E-02  0.0000000E+00
  3.6000000E+02 -3.6342258E-03 -2.8514400E-03 -3.3271645E-03 -1.4170007E-02  0.0000000E+00
  3.6000000E+02 -3.5249034E-03 -2.7853352E-03 -3.2336128E-03 -1.3769456E-02  0.0000000E+00
  3.6000000E+02 -3.4270262E-03 -2.7220335E-03 -3.1475723E-03 -1.3378474E-02  0.0000000E+00
  3.6000000E+02 -3.3406294E-03 -2.6612466E-03 -3.0699146E-03 -1.2997040E-02  0.0000000E+00
  3.6000000E+02 -3.2647893E-03 -2.6024582E-03 -3.0003746E-03 -1.2625012E-02  0.0000000E+00
  3.6000000E+02 -3.1977725E-03 -2.5452148E-03 -2.9377182E-03 -1.2262190E-02  0.0000000E+00
  3.6000000E+02 -3.1372862E-03 -2.4892840E-03 -2.8800770E-03 -1.1908359E-02  0.0000000E+00
  3.6000000E+02 -3.0807938E-03 -2.4347048E-03 -2.8253772E-03 -1.1563298E-02  0.0000000E+00
