          atime         pst_uu         pst_vv         pst_ww         pm1avg           tavg
  3.6000000E+02  2.0197928E-01 -2.0197057E-01 -3.8388326E-16  6.5105713E-03  0.0000000E+00
  3.6000000E+02  1.0266136E-01 -5.2449659E-02 -5.0208517E-02  6.2887194E-03  0.0000000E+00
  3.6000000E+02  2.8487615E-02  3.0428741E-02 -5.8894623E-02  5.7909546E-03  0.0000000E+00
  3.6000000E+02 -3.8783218E-03  5.4148850E-02 -5.0263931E-02  4.8704733E-03  0.0000000E+00
  3.6000000E+02 -8.5215876E-03  4.6502966E-02 -3.7971513E-02  3.6352670E-03  0.0000000E+00
  3.6000000E+02 -4.4304602E-03  3.2160341E-02 -2.7724950E-02  2.2488968E-03  0.0000000E+00
  3.6000000E+02  1.2387034E-03  1.9832921E-02 -2.1058048E-02  8.4691746E-04  0.0000000E+00
  3.6000000E+02  7.0625878E-03  1.0729332E-02 -1.7788443E-02 -4.7812702E-04  0.0000000E+00
  3.6000000E+02  1.2822028E-02  4.3733668E-03 -1.7089042E-02 -1.6690998E-03  0.0000000E+00
  3.6000000E+02  1.8492216E-02 -3.0473882E-04 -1.8180848E-02 -2.6952634E-03  0.0000000E+00
  3.6000000E+02  2.4222549E-02 -4.0594260E-03 -2.0149877E-02 -3.5436485E-03  0.0000000E+00
  3.6000000E+02  2.9929552E-02 -7.4394703E-03 -2.2467899E-02 -4.2143908E-03  0.0000000E+00
  3.6000000E+02  3.5448186E-02 -1.0711238E-02 -2.4725500E-02 -4.7165327E-03  0.0000000E+00
  3.6000000E+02  4.0567513E-02 -1.3923617E-02 -2.6639776E-02 -5.0646970E-03  0.0000000E+00
  3.6000000E+02  4.5059232E-02 -1.6992821E-02 -2.8051172E-02 -5.2766877E-03  0.0000000E+00
  3.6000000E+02  4.8708761E-02 -1.9780573E-02 -2.8901839E-02 -5.3717949E-03  0.0000000E+00
  3.6000000E+02  5.1356548E-02 -2.2150514E-02 -2.9198357E-02 -5.3695698E-03  0.0000000E+00
  3.6000000E+02  5.2957286E-02 -2.3987676E-02 -2.8961621E-02 -5.2888369E-03  0.0000000E+00
  3.6000000E+02  5.3544461E-02 -2.5163141E-02 -2.8247902E-02 -5.1473667E-03  0.0000000E+00
  3.6000000E+02  5.3006381E-02 -2.5749206E-02 -2.7262262E-02 -4.9624113E-03  0.0000000E+00
  3.6000000E+02  5.1724120E-02 -2.5774070E-02 -2.5946986E-02 -4.7477282E-03  0.0000000E+00
  3.6000000E+02  4.9743795E-02 -2.5236258E-02 -2.4483126E-02 -4.5176299E-03  0.0000000E+00
  3.6000000E+02  4.7214737E-02 -2.4229586E-02 -2.2961244E-02 -4.2837977E-03  0.0000000E+00
  3.6000000E+02  4.4319457E-02 -2.2879535E-02 -2.1430161E-02 -4.0553939E-03  0.0000000E+00
  3.6000000E+02  4.1230398E-02 -2.1306751E-02 -1.9924559E-02 -3.8392581E-03  0.0000000E+00
  3.6000000E+02  3.8088150E-02 -1.9611150E-02 -1.8476456E-02 -3.6401607E-03  0.0000000E+00
  3.6000000E+02  3.4995815E-02 -1.7870091E-02 -1.7115594E-02 -3.4610918E-03  0.0000000E+00
  3.6000000E+02  3.2024217E-02 -1.6144073E-02 -1.5863750E-02 -3.3035597E-03  0.0000000E+00
  3.6000000E+02  2.9222614E-02 -1.4483427E-02 -1.4728027E-02 -3.1678751E-03  0.0000000E+00
  3.6000000E+02  2.6629624E-02 -1.2929475E-02 -1.3698135E-02 -3.0533981E-03  0.0000000E+00
  3.6000000E+02  2.4279023E-02 -1.1503602E-02 -1.2752700E-02 -2.9587226E-03  0.0000000E+00
  3.6000000E+02  2.2196560E-02 -1.0204601E-02 -1.1884422E-02 -2.8819071E-03  0.0000000E+00
  3.6000000E+02  2.0372276E-02 -9.2390861E-03 -1.1123643E-02 -2.8215021E-03  0.0000000E+00
  3.6000000E+02  1.8768876E-02 -8.3565355E-03 -1.0417863E-02 -2.7742895E-03  0.0000000E+00
  3.6000000E+02  1.7380554E-02 -7.5936664E-03 -9.7836557E-03 -2.7386581E-03  0.0000000E+00
  3.6000000E+02  1.6192014E-02 -6.9588585E-03 -9.2228267E-03 -2.7126291E-03  0.0000000E+00
  3.6000000E+02  1.5182627E-02 -6.4439806E-03 -8.7290473E-03 -2.6941102E-03  0.0000000E+00
  3.6000000E+02  1.4329525E-02 -6.0329658E-03 -8.2926381E-03 -2.6810757E-03  0.0000000E+00
  3.6000000E+02  1.3609795E-02 -5.7075937E-03 -7.9037531E-03 -2.6716850E-03  0.0000000E+00
  3.6000000E+02  1.3001893E-02 -5.4509407E-03 -7.5542083E-03 -2.6643486E-03  0.0000000E+00
  3.6000000E+02  1.2486454E-02 -5.2489595E-03 -7.2381982E-03 -2.6577532E-03  0.0000000E+00
  3.6000000E+02  1.2046607E-02 -5.0906463E-03 -6.9521481E-03 -2.6508560E-03  0.0000000E+00
  3.6000000E+02  1.1667973E-02 -4.9672573E-03 -6.6939449E-03 -2.6428588E-03  0.0000000E+00
  3.6000000E+02  1.1338469E-02 -4.8710344E-03 -6.4617939E-03 -2.6331725E-03  0.0000000E+00
  3.6000000E+02  1.1048068E-02 -4.7938997E-03 -6.2529451E-03 -2.6213827E-03  0.0000000E+00
  3.6000000E+02  1.0788663E-02 -4.7265804E-03 -6.0625352E-03 -2.6072274E-03  0.0000000E+00
  3.6000000E+02  1.0554183E-02 -4.6586229E-03 -5.8827901E-03 -2.5905956E-03  0.0000000E+00
  3.6000000E+02  1.0343798E-02 -4.5914897E-03 -5.7055604E-03 -2.5715765E-03  0.0000000E+00
  3.6000000E+02  1.0166240E-02 -4.6085455E-03 -5.5507356E-03 -2.5502752E-03  0.0000000E+00
  3.6000000E+02  9.9850472E-03 -4.5892066E-03 -5.3982732E-03 -2.5264367E-03  0.0000000E+00
