          atime           conv           prod        pres_tr        pres_df        garbage
  3.6000000E+02  3.1713425E-04  6.7975715E-03  1.2679922E-03 -2.9206727E-04 -9.2606285E-07
  3.6000000E+02  3.1438521E-04  6.6671933E-03  1.1657228E-03 -3.1193694E-04 -5.3922466E-07
  3.6000000E+02  3.1050092E-04  6.5345963E-03  1.0721914E-03 -3.3075664E-04  3.6158831E-07
  3.6000000E+02  3.0526999E-04  6.4000370E-03  9.8700257E-04 -3.5038839E-04  1.2474474E-06
  3.6000000E+02  2.9867554E-04  6.2638808E-03  9.0941298E-04 -3.7103296E-04  1.5716981E-06
  3.6000000E+02  2.9091184E-04  6.1266070E-03  8.3876648E-04 -3.9057480E-04  1.0653813E-06
  3.6000000E+02  2.8235157E-04  5.9888251E-03  7.7505346E-04 -4.0492666E-04  4.9758239E-08
  3.6000000E+02  2.7344673E-04  5.8513103E-03  7.1955544E-04 -4.0981298E-04 -2.7368774E-07
  3.6000000E+02  2.6454655E-04  5.7150644E-03  6.7553595E-04 -4.0443130E-04  2.4046002E-06
  3.6000000E+02  2.5561514E-04  5.5814080E-03  6.4893857E-04 -3.9743081E-04  1.1628327E-05
  3.6000000E+02  2.4570639E-04  5.4506158E-03  5.7311817E-04 -4.3329406E-04  3.9683227E-06
  3.6000000E+02  2.3653594E-04  5.3197345E-03  5.0932019E-04 -4.4148775E-04 -3.1453133E-07
  3.6000000E+02  2.2765058E-04  5.1896367E-03  4.5956469E-04 -4.3570230E-04 -6.3692150E-07
  3.6000000E+02  2.1871751E-04  5.0611476E-03  4.1645467E-04 -4.2833026E-04  2.4316971E-07
  3.6000000E+02  2.0965403E-04  4.9348365E-03  3.7643871E-04 -4.2369621E-04  9.7453523E-07
  3.6000000E+02  2.0051835E-04  4.8110372E-03  3.3831153E-04 -4.2176685E-04  1.1129431E-06
  3.6000000E+02  1.9142986E-04  4.6898789E-03  3.0209356E-04 -4.2076918E-04  7.3082943E-07
  3.6000000E+02  1.8251513E-04  4.5713236E-03  2.6824298E-04 -4.1887486E-04  1.2594678E-07
  3.6000000E+02  1.7387537E-04  4.4552099E-03  2.3715370E-04 -4.1510874E-04 -3.8156711E-07
  3.6000000E+02  1.6557158E-04  4.3412989E-03  2.0889244E-04 -4.0963982E-04 -5.7423852E-07
  3.6000000E+02  1.5762328E-04  4.2293197E-03  1.8312855E-04 -4.0361246E-04 -3.9496068E-07
  3.6000000E+02  1.5001681E-04  4.1190140E-03  1.5920972E-04 -3.9867608E-04  5.2112433E-08
  3.6000000E+02  1.4271933E-04  4.0101741E-03  1.3633708E-04 -3.9637134E-04  5.4694493E-07
  3.6000000E+02  1.3569441E-04  3.9026751E-03  1.1379310E-04 -3.9753091E-04  8.3473359E-07
  3.6000000E+02  1.2891526E-04  3.7964959E-03  9.1175541E-05 -4.0185284E-04  7.3222156E-07
  3.6000000E+02  1.2237164E-04  3.6917292E-03  6.8590954E-05 -4.0780467E-04  2.4867432E-07
  3.6000000E+02  1.1606639E-04  3.5885754E-03  4.6761051E-05 -4.1301623E-04 -2.8901855E-07
  3.6000000E+02  1.0999767E-04  3.4873200E-03  2.6995340E-05 -4.1531937E-04 -1.1765292E-07
  3.6000000E+02  1.0412282E-04  3.3882908E-03  1.0983403E-05 -4.1459246E-04  2.0640327E-06
  3.6000000E+02  9.8315053E-05  3.2918162E-03 -1.1257038E-06 -4.1677224E-04  7.4949871E-06
  3.6000000E+02  9.3001128E-05  3.1976207E-03 -4.1776354E-05 -4.4028298E-04  1.4575291E-06
  3.6000000E+02  8.8046145E-05  3.1045226E-03 -7.2339924E-05 -4.4742877E-04 -4.1245343E-07
  3.6000000E+02  8.3486967E-05  3.0128221E-03 -9.6101829E-05 -4.4802397E-04 -4.2172499E-07
  3.6000000E+02  7.9326574E-05  2.9225818E-03 -1.1506990E-04 -4.4668016E-04  1.0269420E-07
  3.6000000E+02  7.5541514E-05  2.8337109E-03 -1.3045005E-04 -4.4489806E-04  5.1368323E-07
  3.6000000E+02  7.2089165E-05  2.7460345E-03 -1.4299698E-04 -4.4260908E-04  6.0267256E-07
  3.6000000E+02  6.8914682E-05  2.6593465E-03 -1.5325606E-04 -4.3923799E-04  4.1147521E-07
  3.6000000E+02  6.5957505E-05  2.5734494E-03 -1.6171249E-04 -4.3435785E-04  9.1979590E-08
  3.6000000E+02  6.3157287E-05  2.4881818E-03 -1.6886384E-04 -4.2800866E-04 -1.9161366E-07
  3.6000000E+02  6.0459122E-05  2.4034349E-03 -1.7523208E-04 -4.2075102E-04 -3.2332841E-07
  3.6000000E+02  5.7817948E-05  2.3191608E-03 -1.8133127E-04 -4.1352614E-04 -2.6404087E-07
  3.6000000E+02  5.5201970E-05  2.2353717E-03 -1.8760691E-04 -4.0739354E-04 -5.3516275E-08
  3.6000000E+02  5.2595010E-05  2.1521344E-03 -1.9436323E-04 -4.0321777E-04  2.0882819E-07
  3.6000000E+02  4.9997624E-05  2.0695588E-03 -2.0169427E-04 -4.0137544E-04  3.9911647E-07
  3.6000000E+02  4.7426872E-05  1.9877841E-03 -2.0943522E-04 -4.0155398E-04  4.1484520E-07
  3.6000000E+02 -4.0667146E-05  0.0000000E+00  0.0000000E+00 -9.6461318E-02  4.3582158E-06
  3.6000000E+02  9.5032442E-02 -4.0088440E-02  8.7701167E-02 -1.7746080E-02  1.8840572E-06
  3.6000000E+02  1.2682726E-01 -6.9670277E-02  1.0947686E-01  2.1929895E-02  8.5212215E-06
  3.6000000E+02  7.1383051E-02 -5.8567313E-02  1.0080707E-01  2.9266979E-02  4.5694716E-06
  3.6000000E+02  1.5831239E-02 -3.8295415E-02  8.4567829E-02  2.3473755E-02  3.4893002E-06
  3.6000000E+02 -2.0013379E-02 -1.9947498E-02  7.0103985E-02  1.6587934E-02  4.3080019E-06
  3.6000000E+02 -4.0376453E-02 -4.5813032E-03  5.9401188E-02  1.1791306E-02  5.5405284E-06
  3.6000000E+02 -4.9402761E-02  8.0152741E-03  5.1795130E-02  8.8061691E-03  1.7166403E-05
