          atime         eps_uu         eps_vv         eps_ww         pm1avg           tavg
  2.4000000E+02 -1.0555686E-02 -7.9514079E-03 -9.3438083E-03 -4.0329559E-03  0.0000000E+00
  2.4000000E+02 -1.0271432E-02 -7.7634610E-03 -9.1096616E-03 -3.9787231E-03  0.0000000E+00
  2.4000000E+02 -1.0009105E-02 -7.5923544E-03 -8.8881975E-03 -3.9247613E-03  0.0000000E+00
  2.4000000E+02 -9.7282657E-03 -7.4183254E-03 -8.6509316E-03 -3.8706450E-03  0.0000000E+00
  2.4000000E+02 -9.4566255E-03 -7.2479998E-03 -8.4212096E-03 -3.8160268E-03  0.0000000E+00
  2.4000000E+02 -9.2060207E-03 -7.0844888E-03 -8.2084502E-03 -3.7607266E-03  0.0000000E+00
  2.4000000E+02 -8.9771389E-03 -6.9280830E-03 -8.0130948E-03 -3.7046362E-03  0.0000000E+00
  2.4000000E+02 -8.7663997E-03 -6.7780481E-03 -7.8324926E-03 -3.6476549E-03  0.0000000E+00
  2.4000000E+02 -8.5701091E-03 -6.6335986E-03 -7.6641911E-03 -3.5896579E-03  0.0000000E+00
  2.4000000E+02 -8.3862530E-03 -6.4942241E-03 -7.5070946E-03 -3.5304903E-03  0.0000000E+00
  2.4000000E+02 -8.2142963E-03 -6.3595413E-03 -7.3609500E-03 -3.4699823E-03  0.0000000E+00
  2.4000000E+02 -8.0533530E-03 -6.2288458E-03 -7.2246241E-03 -3.4079759E-03  0.0000000E+00
  2.4000000E+02 -7.8990927E-03 -6.1005354E-03 -7.0936312E-03 -3.3443601E-03  0.0000000E+00
  2.4000000E+02 -7.7397491E-03 -5.9715812E-03 -6.9573745E-03 -3.2791063E-03  0.0000000E+00
  2.4000000E+02 -7.5674999E-03 -5.8425770E-03 -6.8078342E-03 -3.2122988E-03  0.0000000E+00
  2.4000000E+02 -7.4013018E-03 -5.7210314E-03 -6.6597303E-03 -3.1440015E-03  0.0000000E+00
  2.4000000E+02 -7.2209235E-03 -5.5965954E-03 -6.5002600E-03 -3.0742327E-03  0.0000000E+00
  2.4000000E+02 -7.0451451E-03 -5.4741085E-03 -6.3438551E-03 -3.0031665E-03  0.0000000E+00
  2.4000000E+02 -6.8804377E-03 -5.3554217E-03 -6.1964372E-03 -2.9310126E-03  0.0000000E+00
  2.4000000E+02 -6.7270414E-03 -5.2408509E-03 -6.0590229E-03 -2.8579471E-03  0.0000000E+00
  2.4000000E+02 -6.5830106E-03 -5.1301231E-03 -5.9304087E-03 -2.7840841E-03  0.0000000E+00
  2.4000000E+02 -6.4465302E-03 -5.0229011E-03 -5.8089733E-03 -2.7094785E-03  0.0000000E+00
