          atime          uvari          vvari          wvari          pvari          tvari
  2.4000000E+02  1.4336172E-21  2.0822981E-22 -1.7673900E-22  6.6509231E-03  0.0000000E+00
  2.4000000E+02  1.7286800E-02  2.2154352E-03  6.2016036E-03  6.5553181E-03  0.0000000E+00
  2.4000000E+02  4.4314005E-02  4.6726854E-03  1.6106557E-02  6.3572661E-03  0.0000000E+00
  2.4000000E+02  6.0950982E-02  6.0317577E-03  2.0896647E-02  6.1619894E-03  0.0000000E+00
  2.4000000E+02  7.2317938E-02  7.3050830E-03  2.2839082E-02  5.9945438E-03  0.0000000E+00
  2.4000000E+02  8.0680952E-02  8.6660203E-03  2.3578421E-02  5.8508107E-03  0.0000000E+00
  2.4000000E+02  8.6904103E-02  1.0085334E-02  2.3902624E-02  5.7196970E-03  0.0000000E+00
  2.4000000E+02  9.1283876E-02  1.1514919E-02  2.4119345E-02  5.5928602E-03  0.0000000E+00
  2.4000000E+02  9.3993025E-02  1.2914973E-02  2.4326439E-02  5.4656569E-03  0.0000000E+00
  2.4000000E+02  9.5331579E-02  1.4248984E-02  2.4552185E-02  5.3361336E-03  0.0000000E+00
  2.4000000E+02  9.5753303E-02  1.5483162E-02  2.4813026E-02  5.2038440E-03  0.0000000E+00
  2.4000000E+02  9.5729965E-02  1.6590704E-02  2.5125328E-02  5.0692714E-03  0.0000000E+00
  2.4000000E+02  9.5570425E-02  1.7558199E-02  2.5492485E-02  4.9336569E-03  0.0000000E+00
  2.4000000E+02  9.5292699E-02  1.8385751E-02  2.5889625E-02  4.7986742E-03  0.0000000E+00
  2.4000000E+02  9.4647849E-02  1.9083191E-02  2.6267304E-02  4.6662284E-03  0.0000000E+00
  2.4000000E+02  9.3352882E-02  1.9663267E-02  2.6576885E-02  4.5380120E-03  0.0000000E+00
  2.4000000E+02  9.1332546E-02  2.0134445E-02  2.6790074E-02  4.4149831E-03  0.0000000E+00
  2.4000000E+02  8.8747547E-02  2.0499259E-02  2.6905950E-02  4.2971152E-03  0.0000000E+00
  2.4000000E+02  8.5841109E-02  2.0758234E-02  2.6943912E-02  4.1833671E-03  0.0000000E+00
  2.4000000E+02  8.2819609E-02  2.0912861E-02  2.6926453E-02  4.0722677E-03  0.0000000E+00
  2.4000000E+02  7.9815296E-02  2.0966644E-02  2.6869899E-02  3.9623057E-03  0.0000000E+00
  2.4000000E+02  7.6896583E-02  2.0926004E-02  2.6782131E-02  3.8522615E-03  0.0000000E+00
  2.4000000E+02  7.4093482E-02  2.0801245E-02  2.6665167E-02  3.7415192E-03  0.0000000E+00
  2.4000000E+02  7.1416072E-02  2.0604871E-02  2.6519666E-02  3.6297554E-03  0.0000000E+00
  2.4000000E+02  6.8852507E-02  2.0351568E-02  2.6339433E-02  3.5172952E-03  0.0000000E+00
